time,vin,vout
2.228000000000000014e-05,7.513953260000000300e-01,5.040560309999999600e-01
2.328000000000000073e-05,7.514575150000000203e-01,5.021079170000000147e-01
2.428000000000000132e-05,7.515196469999999573e-01,5.001740749999999958e-01
2.527999999999999852e-05,7.515817190000000370e-01,4.982546380000000275e-01
2.627999999999999911e-05,7.516437280000000110e-01,4.963497330000000152e-01
2.727999999999999970e-05,7.517056720000000469e-01,4.944594849999999764e-01
2.828000000000000029e-05,7.517675489999999794e-01,4.925840109999999883e-01
2.928000000000000088e-05,7.518293560000000042e-01,4.907234269999999898e-01
3.028000000000000147e-05,7.518910920000000386e-01,4.888778409999999797e-01
3.127999999999999867e-05,7.519527520000000020e-01,4.870473550000000151e-01
3.228000000000000265e-05,7.520143350000000337e-01,4.852320680000000164e-01
3.327999999999999985e-05,7.520758389999999682e-01,4.834320730000000177e-01
3.427999999999999705e-05,7.521372610000000014e-01,4.816474570000000011e-01
3.528000000000000103e-05,7.521985979999999961e-01,4.798782999999999799e-01
3.627999999999999823e-05,7.522598489999999805e-01,4.781246780000000252e-01
3.728000000000000221e-05,7.523210099999999567e-01,4.763866589999999901e-01
3.827999999999999941e-05,7.523820799999999531e-01,4.746643079999999792e-01
3.927999999999999661e-05,7.524430560000000545e-01,4.729576810000000187e-01
4.028000000000000059e-05,7.525039350000000127e-01,4.712668280000000265e-01
4.127999999999999779e-05,7.525647159999999669e-01,4.695917949999999785e-01
4.228000000000000177e-05,7.526253950000000303e-01,4.679326200000000213e-01
4.327999999999999897e-05,7.526859700000000375e-01,4.662893339999999998e-01
4.428000000000000295e-05,7.527464400000000166e-01,4.646619630000000112e-01
4.528000000000000015e-05,7.528068009999999699e-01,4.630505260000000178e-01
4.627999999999999736e-05,7.528670509999999538e-01,4.614550359999999851e-01
4.728000000000000133e-05,7.529271889999999967e-01,4.598754999999999926e-01
4.827999999999999854e-05,7.529872100000000179e-01,4.583119159999999859e-01
4.928000000000000251e-05,7.530471140000000174e-01,4.567642789999999953e-01
5.027999999999999972e-05,7.531068969999999974e-01,4.552325770000000271e-01
5.127999999999999692e-05,7.531665579999999860e-01,4.537167910000000082e-01
5.228000000000000090e-05,7.532260929999999854e-01,4.522168959999999793e-01
5.327999999999999810e-05,7.532855019999999957e-01,4.507328609999999847e-01
5.428000000000000208e-05,7.533447800000000472e-01,4.492646510000000148e-01
5.527999999999999928e-05,7.534039270000000288e-01,4.478122219999999820e-01
5.628000000000000326e-05,7.534629390000000537e-01,4.463755269999999942e-01
5.728000000000000046e-05,7.535218139999999565e-01,4.449545129999999959e-01
5.827999999999999766e-05,7.535805509999999874e-01,4.435491189999999917e-01
