vin,vout,dvout_dvin
1.239999999999999991e-01,1.498190679999999997e+00,-8.150000001023727236e-04
1.250000000000000000e-01,1.498189839999999995e+00,-8.500000001276930561e-04
1.260000000000000009e-01,1.498188979999999892e+00,-8.799999999382634996e-04
1.270000000000000018e-01,1.498188080000000033e+00,-9.199999999509600457e-04
1.280000000000000027e-01,1.498187139999999973e+00,-9.600000000773434294e-04
1.290000000000000036e-01,1.498186159999999933e+00,-9.949999998752900865e-04
1.300000000000000044e-01,1.498185150000000077e+00,-1.034999999887986633e-03
1.310000000000000053e-01,1.498184090000000079e+00,-1.080000000001746230e-03
1.320000000000000062e-01,1.498182990000000103e+00,-1.120000000128129614e-03
1.330000000000000071e-01,1.498181849999999926e+00,-1.160000000140826160e-03
1.340000000000000080e-01,1.498180669999999992e+00,-1.205000000027212081e-03
1.350000000000000089e-01,1.498179439999999918e+00,-1.249999999913598003e-03
1.360000000000000098e-01,1.498178170000000087e+00,-1.299999999901046976e-03
1.370000000000000107e-01,1.498176839999999954e+00,-1.350000000002182787e-03
1.380000000000000115e-01,1.498175470000000065e+00,-1.395000000002255547e-03
1.390000000000000124e-01,1.498174050000000035e+00,-1.450000000090767571e-03
1.400000000000000133e-01,1.498172569999999926e+00,-1.505000000065592758e-03
1.409999999999999865e-01,1.498171039999999898e+00,-1.559999999926731107e-03
1.419999999999999873e-01,1.498169450000000014e+00,-1.614999999901556293e-03
1.429999999999999882e-01,1.498167809999999989e+00,-1.669999999990068318e-03
1.439999999999999891e-01,1.498166110000000106e+00,-1.730000000065956556e-03
1.449999999999999900e-01,1.498164349999999923e+00,-1.795000000015534170e-03
1.459999999999999909e-01,1.498162519999999942e+00,-1.859999999965111783e-03
1.469999999999999918e-01,1.498160630000000104e+00,-1.925000000028376235e-03
1.479999999999999927e-01,1.498158670000000026e+00,-1.989999999977953848e-03
1.489999999999999936e-01,1.498156650000000090e+00,-2.060000000028594513e-03
1.499999999999999944e-01,1.498154549999999974e+00,-2.130000000079235178e-03
1.509999999999999953e-01,1.498152390000000000e+00,-2.199999999902502168e-03
1.519999999999999962e-01,1.498150150000000069e+00,-2.279999999927895260e-03
1.529999999999999971e-01,1.498147829999999958e+00,-2.360000000066975190e-03
1.539999999999999980e-01,1.498145429999999889e+00,-2.439999999978681444e-03
1.549999999999999989e-01,1.498142950000000084e+00,-2.519999999890387699e-03
1.559999999999999998e-01,1.498140390000000099e+00,-2.600000000029467628e-03
1.570000000000000007e-01,1.498137749999999935e+00,-2.690000000143299985e-03
1.580000000000000016e-01,1.498135009999999934e+00,-2.780000000029758667e-03
1.590000000000000024e-01,1.498132189999999975e+00,-2.870000000029904186e-03
1.600000000000000033e-01,1.498129269999999957e+00,-2.969999999891115294e-03
1.610000000000000042e-01,1.498126250000000104e+00,-3.064999999992323865e-03
1.620000000000000051e-01,1.498123139999999909e+00,-3.160000000093532435e-03
1.630000000000000060e-01,1.498119930000000100e+00,-3.264999999942119757e-03
1.640000000000000069e-01,1.498116610000000071e+00,-3.370000000018080755e-03
1.650000000000000078e-01,1.498113189999999983e+00,-3.479999999967731128e-03
1.660000000000000087e-01,1.498109649999999959e+00,-3.589999999917381501e-03
1.670000000000000095e-01,1.498106010000000099e+00,-3.705000000081781764e-03
1.680000000000000104e-01,1.498102239999999918e+00,-3.825000000119871402e-03
1.690000000000000113e-01,1.498098359999999962e+00,-3.939999999943211151e-03
1.700000000000000122e-01,1.498094360000000069e+00,-4.064999999854990165e-03
1.710000000000000131e-01,1.498090230000000078e+00,-4.190000000107829692e-03
1.719999999999999862e-01,1.498085979999999928e+00,-4.320000000006984919e-03
1.729999999999999871e-01,1.498081589999999963e+00,-4.459999999994579412e-03
1.739999999999999880e-01,1.498077059999999960e+00,-4.594999999881110853e-03
1.749999999999999889e-01,1.498072400000000082e+00,-4.729999999995015969e-03
1.759999999999999898e-01,1.498067599999999944e+00,-4.875000000083673513e-03
1.769999999999999907e-01,1.498062650000000051e+00,-5.025000000046020432e-03
1.779999999999999916e-01,1.498057549999999960e+00,-5.179999999995743565e-03
1.789999999999999925e-01,1.498052289999999953e+00,-5.334999999945466698e-03
1.799999999999999933e-01,1.498046879999999970e+00,-5.490000000008876668e-03
1.809999999999999942e-01,1.498041310000000070e+00,-5.654999999933352228e-03
1.819999999999999951e-01,1.498035570000000094e+00,-5.819999999971514626e-03
1.829999999999999960e-01,1.498029669999999980e+00,-5.989999999997053237e-03
1.839999999999999969e-01,1.498023590000000071e+00,-6.165000000009968062e-03
1.849999999999999978e-01,1.498017340000000086e+00,-6.345000000123945938e-03
1.859999999999999987e-01,1.498010899999999923e+00,-6.529999999997926352e-03
1.869999999999999996e-01,1.498004279999999966e+00,-6.714999999985593604e-03
1.880000000000000004e-01,1.497997470000000053e+00,-6.910000000061700121e-03
1.890000000000000013e-01,1.497990460000000024e+00,-7.104999999910432962e-03
1.900000000000000022e-01,1.497983260000000039e+00,-7.304999999973915692e-03
1.910000000000000031e-01,1.497975849999999998e+00,-7.515000000125837687e-03
1.920000000000000040e-01,1.497968229999999901e+00,-7.720000000063009793e-03
1.930000000000000049e-01,1.497960409999999909e+00,-7.934999999974934326e-03
1.940000000000000058e-01,1.497952359999999983e+00,-8.154999999874235073e-03
1.950000000000000067e-01,1.497944100000000001e+00,-8.374999999887222657e-03
1.960000000000000075e-01,1.497935610000000084e+00,-8.605000000102336344e-03
1.970000000000000084e-01,1.497926890000000011e+00,-8.840000000077452569e-03
1.980000000000000093e-01,1.497917930000000064e+00,-9.074999999938881956e-03
1.990000000000000102e-01,1.497908739999999961e+00,-9.320000000002437446e-03
2.000000000000000111e-01,1.497899290000000105e+00,-9.570000000053369149e-03
2.010000000000000120e-01,1.497889599999999932e+00,-9.815000000003237801e-03
2.020000000000000129e-01,1.497879659999999946e+00,-1.007499999991523509e-02
2.030000000000000138e-01,1.497869450000000047e+00,-1.034000000004198228e-02
2.039999999999999869e-01,1.497858979999999951e+00,-1.060500000005504262e-02
2.049999999999999878e-01,1.497848239999999942e+00,-1.087999999992916855e-02
2.059999999999999887e-01,1.497837220000000080e+00,-1.115499999991698132e-02
2.069999999999999896e-01,1.497825930000000083e+00,-1.143500000000585715e-02
2.079999999999999905e-01,1.497814350000000072e+00,-1.172500000006948540e-02
2.089999999999999913e-01,1.497802480000000047e+00,-1.202000000000680302e-02
2.099999999999999922e-01,1.497790310000000069e+00,-1.231499999994412065e-02
2.109999999999999931e-01,1.497777850000000077e+00,-1.261499999998250132e-02
2.119999999999999940e-01,1.497765079999999971e+00,-1.292500000010932126e-02
2.129999999999999949e-01,1.497751999999999972e+00,-1.324000000010983058e-02
2.139999999999999958e-01,1.497738599999999920e+00,-1.355499999999665306e-02
2.149999999999999967e-01,1.497724889999999975e+00,-1.387499999987085175e-02
2.159999999999999976e-01,1.497710850000000038e+00,-1.420999999993455276e-02
2.169999999999999984e-01,1.497696469999999946e+00,-1.454000000001087756e-02
2.179999999999999993e-01,1.497681770000000023e+00,-1.487499999996089173e-02
2.190000000000000002e-01,1.497666720000000007e+00,-1.522500000010040822e-02
2.200000000000000011e-01,1.497651319999999897e+00,-1.557000000002517481e-02
2.210000000000000020e-01,1.497635580000000077e+00,-1.591999999993731763e-02
2.220000000000000029e-01,1.497619480000000003e+00,-1.628000000005158654e-02
2.230000000000000038e-01,1.497603019999999896e+00,-1.664500000003954483e-02
2.240000000000000047e-01,1.497586190000000039e+00,-1.701500000001487933e-02
2.250000000000000056e-01,1.497568989999999989e+00,-1.738499999999021384e-02
2.260000000000000064e-01,1.497551419999999966e+00,-1.776499999994030077e-02
2.270000000000000073e-01,1.497533460000000094e+00,-1.814999999987776391e-02
2.280000000000000082e-01,1.497515120000000088e+00,-1.853500000004260073e-02
