 time            v(vin)          v(vout)        
 1.02280000e-04  7.55993142e-01  3.95635729e-01 
 1.03280000e-04  7.56043322e-01  3.94820408e-01 
 1.04280000e-04  7.56093262e-01  3.94015262e-01 
 1.05280000e-04  7.56142962e-01  3.93220169e-01 
 1.06280000e-04  7.56192420e-01  3.92435008e-01 
 1.07280000e-04  7.56241633e-01  3.91659660e-01 
 1.08280000e-04  7.56290599e-01  3.90894006e-01 
 1.09280000e-04  7.56339318e-01  3.90137930e-01 
 1.10280000e-04  7.56387786e-01  3.89391318e-01 
 1.11280000e-04  7.56436001e-01  3.88654054e-01 
 1.12280000e-04  7.56483963e-01  3.87926028e-01 
 1.13280000e-04  7.56531669e-01  3.87207129e-01 
 1.14280000e-04  7.56579117e-01  3.86497247e-01 
 1.15280000e-04  7.56626305e-01  3.85796274e-01 
 1.16280000e-04  7.56673232e-01  3.85104105e-01 
 1.17280000e-04  7.56719895e-01  3.84420636e-01 
 1.18280000e-04  7.56766293e-01  3.83745762e-01 
 1.19280000e-04  7.56812423e-01  3.83079383e-01 
 1.20280000e-04  7.56858285e-01  3.82421398e-01 
 1.21280000e-04  7.56903876e-01  3.81771710e-01 
 1.22280000e-04  7.56949195e-01  3.81130220e-01 
 1.23280000e-04  7.56994239e-01  3.80496835e-01 
 1.24280000e-04  7.57039007e-01  3.79871460e-01 
 1.25280000e-04  7.57083497e-01  3.79254003e-01 
 1.26280000e-04  7.57127707e-01  3.78644373e-01 
 1.27280000e-04  7.57171637e-01  3.78042481e-01 
 1.28280000e-04  7.57215282e-01  3.77448238e-01 
 1.29280000e-04  7.57258644e-01  3.76861559e-01 
 1.30280000e-04  7.57301718e-01  3.76282359e-01 
 1.31280000e-04  7.57344504e-01  3.75710554e-01 
 1.32280000e-04  7.57387001e-01  3.75146063e-01 
 1.33280000e-04  7.57429206e-01  3.74588804e-01 
 1.34280000e-04  7.57471117e-01  3.74038699e-01 
 1.35280000e-04  7.57512733e-01  3.73495670e-01 
 1.36280000e-04  7.57554053e-01  3.72959641e-01 
 1.37280000e-04  7.57595075e-01  3.72430536e-01 
 1.38280000e-04  7.57635797e-01  3.71908282e-01 
 1.39280000e-04  7.57676217e-01  3.71392807e-01 
 1.40280000e-04  7.57716335e-01  3.70884039e-01 
 1.41280000e-04  7.57756147e-01  3.70381909e-01 
 1.42280000e-04  7.57795654e-01  3.69886348e-01 
 1.43280000e-04  7.57834853e-01  3.69397290e-01 
 1.44280000e-04  7.57873742e-01  3.68914668e-01 
 1.45280000e-04  7.57912321e-01  3.68438417e-01 
 1.46280000e-04  7.57950587e-01  3.67968474e-01 
 1.47280000e-04  7.57988539e-01  3.67504777e-01 
 1.48280000e-04  7.58026176e-01  3.67047265e-01 
 1.49280000e-04  7.58063496e-01  3.66595877e-01 
 1.50280000e-04  7.58100498e-01  3.66150555e-01 
 1.51280000e-04  7.58137180e-01  3.65711240e-01 
 1.52280000e-04  7.58173541e-01  3.65277877e-01 
 1.53280000e-04  7.58209579e-01  3.64850410e-01 
 1.54280000e-04  7.58245293e-01  3.64428784e-01 
 1.55280000e-04  7.58280682e-01  3.64012946e-01 
 1.56280000e-04  7.58315743e-01  3.63602843e-01 
 1.57280000e-04  7.58350476e-01  3.63198425e-01 
 1.58280000e-04  7.58384880e-01  3.62799640e-01 
 1.59280000e-04  7.58418953e-01  3.62406439e-01 
 1.60280000e-04  7.58452693e-01  3.62018774e-01 
 1.61280000e-04  7.58486099e-01  3.61636598e-01 
 1.62280000e-04  7.58519171e-01  3.61259863e-01 
 1.63280000e-04  7.58551906e-01  3.60888524e-01 
 1.64280000e-04  7.58584304e-01  3.60522537e-01 
 1.65280000e-04  7.58616362e-01  3.60161858e-01 
