 frequency       v(Aol_dB)       v(Aol_arg)     
 7.10370877e-01  3.09961837e+01  1.79999986e+02 
 7.26751838e-01  3.09961837e+01  1.79999986e+02 
 7.43510539e-01  3.09961837e+01  1.79999986e+02 
 7.60655691e-01  3.09961837e+01  1.79999986e+02 
 7.78196206e-01  3.09961837e+01  1.79999985e+02 
 7.96141200e-01  3.09961837e+01  1.79999985e+02 
 8.14500001e-01  3.09961837e+01  1.79999984e+02 
 8.33282151e-01  3.09961837e+01  1.79999984e+02 
 8.52497412e-01  3.09961837e+01  1.79999984e+02 
 8.72155772e-01  3.09961837e+01  1.79999983e+02 
 8.92267449e-01  3.09961837e+01  1.79999983e+02 
 9.12842895e-01  3.09961837e+01  1.79999983e+02 
 9.33892805e-01  3.09961837e+01  1.79999982e+02 
 9.55428121e-01  3.09961837e+01  1.79999982e+02 
 9.77460036e-01  3.09961837e+01  1.79999981e+02 
 1.00000000e+00  3.09961837e+01  1.79999981e+02 
 1.02305973e+00  3.09961837e+01  1.79999981e+02 
 1.04665121e+00  3.09961837e+01  1.79999980e+02 
 1.07078670e+00  3.09961837e+01  1.79999980e+02 
 1.09547876e+00  3.09961837e+01  1.79999979e+02 
 1.12074020e+00  3.09961837e+01  1.79999979e+02 
 1.14658417e+00  3.09961837e+01  1.79999978e+02 
 1.17302409e+00  3.09961837e+01  1.79999978e+02 
 1.20007371e+00  3.09961837e+01  1.79999977e+02 
 1.22774708e+00  3.09961837e+01  1.79999977e+02 
 1.25605860e+00  3.09961837e+01  1.79999976e+02 
 1.28502297e+00  3.09961837e+01  1.79999976e+02 
 1.31465525e+00  3.09961837e+01  1.79999975e+02 
 1.34497085e+00  3.09961837e+01  1.79999974e+02 
 1.37598551e+00  3.09961837e+01  1.79999974e+02 
 1.40771537e+00  3.09961837e+01  1.79999973e+02 
 1.44017690e+00  3.09961837e+01  1.79999973e+02 
 1.47338699e+00  3.09961837e+01  1.79999972e+02 
 1.50736290e+00  3.09961837e+01  1.79999971e+02 
 1.54212228e+00  3.09961837e+01  1.79999971e+02 
 1.57768320e+00  3.09961837e+01  1.79999970e+02 
 1.61406415e+00  3.09961837e+01  1.79999969e+02 
 1.65128404e+00  3.09961837e+01  1.79999969e+02 
 1.68936220e+00  3.09961837e+01  1.79999968e+02 
 1.72831844e+00  3.09961837e+01  1.79999967e+02 
 1.76817299e+00  3.09961837e+01  1.79999966e+02 
 1.80894658e+00  3.09961837e+01  1.79999966e+02 
 1.85066040e+00  3.09961837e+01  1.79999965e+02 
 1.89333613e+00  3.09961837e+01  1.79999964e+02 
 1.93699595e+00  3.09961837e+01  1.79999963e+02 
 1.98166255e+00  3.09961837e+01  1.79999962e+02 
 2.02735916e+00  3.09961837e+01  1.79999961e+02 
 2.07410951e+00  3.09961837e+01  1.79999961e+02 
 2.12193792e+00  3.09961837e+01  1.79999960e+02 
 2.17086923e+00  3.09961837e+01  1.79999959e+02 
 2.22092889e+00  3.09961837e+01  1.79999958e+02 
 2.27214291e+00  3.09961837e+01  1.79999957e+02 
 2.32453791e+00  3.09961837e+01  1.79999956e+02 
 2.37814113e+00  3.09961837e+01  1.79999955e+02 
 2.43298042e+00  3.09961837e+01  1.79999954e+02 
 2.48908429e+00  3.09961837e+01  1.79999953e+02 
 2.54648190e+00  3.09961837e+01  1.79999952e+02 
 2.60520309e+00  3.09961837e+01  1.79999950e+02 
 2.66527837e+00  3.09961837e+01  1.79999949e+02 
 2.72673897e+00  3.09961837e+01  1.79999948e+02 
 2.78961683e+00  3.09961837e+01  1.79999947e+02 
 2.85394464e+00  3.09961837e+01  1.79999946e+02 
 2.91975583e+00  3.09961837e+01  1.79999944e+02 
 2.98708461e+00  3.09961837e+01  1.79999943e+02 
 3.05596598e+00  3.09961837e+01  1.79999942e+02 
 3.12643573e+00  3.09961837e+01  1.79999940e+02 
 3.19853049e+00  3.09961837e+01  1.79999939e+02 
 3.27228774e+00  3.09961837e+01  1.79999938e+02 
 3.34774581e+00  3.09961837e+01  1.79999936e+02 
 3.42494392e+00  3.09961837e+01  1.79999935e+02 
 3.50392221e+00  3.09961837e+01  1.79999933e+02 
 3.58472171e+00  3.09961837e+01  1.79999932e+02 
 3.66738442e+00  3.09961837e+01  1.79999930e+02 
 3.75195331e+00  3.09961837e+01  1.79999929e+02 
 3.83847234e+00  3.09961837e+01  1.79999927e+02 
 3.92698648e+00  3.09961837e+01  1.79999925e+02 
 4.01754173e+00  3.09961837e+01  1.79999924e+02 
 4.11018515e+00  3.09961837e+01  1.79999922e+02 
 4.20496491e+00  3.09961837e+01  1.79999920e+02 
 4.30193027e+00  3.09961837e+01  1.79999918e+02 
 4.40113162e+00  3.09961837e+01  1.79999916e+02 
 4.50262052e+00  3.09961837e+01  1.79999914e+02 
 4.60644974e+00  3.09961837e+01  1.79999912e+02 
 4.71267322e+00  3.09961837e+01  1.79999910e+02 
 4.82134619e+00  3.09961837e+01  1.79999908e+02 
 4.93252513e+00  3.09961837e+01  1.79999906e+02 
 5.04626783e+00  3.09961837e+01  1.79999904e+02 
 5.16263340e+00  3.09961837e+01  1.79999902e+02 
 5.28168234e+00  3.09961837e+01  1.79999899e+02 
 5.40347650e+00  3.09961837e+01  1.79999897e+02 
 5.52807921e+00  3.09961837e+01  1.79999895e+02 
 5.65555523e+00  3.09961837e+01  1.79999892e+02 
 5.78597080e+00  3.09961837e+01  1.79999890e+02 
 5.91939372e+00  3.09961837e+01  1.79999887e+02 
 6.05589334e+00  3.09961837e+01  1.79999885e+02 
 6.19554061e+00  3.09961837e+01  1.79999882e+02 
 6.33840810e+00  3.09961837e+01  1.79999879e+02 
 6.48457008e+00  3.09961837e+01  1.79999877e+02 
 6.63410251e+00  3.09961837e+01  1.79999874e+02 
 6.78708313e+00  3.09961837e+01  1.79999871e+02 
 6.94359143e+00  3.09961837e+01  1.79999868e+02 
 7.10370877e+00  3.09961837e+01  1.79999865e+02 
 7.26751838e+00  3.09961837e+01  1.79999862e+02 
 7.43510539e+00  3.09961837e+01  1.79999858e+02 
 7.60655691e+00  3.09961837e+01  1.79999855e+02 
 7.78196206e+00  3.09961837e+01  1.79999852e+02 
 7.96141200e+00  3.09961837e+01  1.79999848e+02 
 8.14500001e+00  3.09961837e+01  1.79999845e+02 
 8.33282151e+00  3.09961837e+01  1.79999841e+02 
 8.52497412e+00  3.09961837e+01  1.79999838e+02 
 8.72155772e+00  3.09961837e+01  1.79999834e+02 
 8.92267449e+00  3.09961837e+01  1.79999830e+02 
 9.12842895e+00  3.09961837e+01  1.79999826e+02 
 9.33892805e+00  3.09961837e+01  1.79999822e+02 
 9.55428121e+00  3.09961837e+01  1.79999818e+02 
 9.77460036e+00  3.09961837e+01  1.79999814e+02 
 1.00000000e+01  3.09961837e+01  1.79999810e+02 
 1.02305973e+01  3.09961837e+01  1.79999805e+02 
 1.04665121e+01  3.09961837e+01  1.79999801e+02 
 1.07078670e+01  3.09961837e+01  1.79999796e+02 
 1.09547876e+01  3.09961837e+01  1.79999791e+02 
 1.12074020e+01  3.09961837e+01  1.79999787e+02 
 1.14658417e+01  3.09961837e+01  1.79999782e+02 
 1.17302409e+01  3.09961837e+01  1.79999777e+02 
 1.20007371e+01  3.09961837e+01  1.79999772e+02 
 1.22774708e+01  3.09961837e+01  1.79999766e+02 
 1.25605860e+01  3.09961837e+01  1.79999761e+02 
 1.28502297e+01  3.09961837e+01  1.79999755e+02 
 1.31465525e+01  3.09961837e+01  1.79999750e+02 
 1.34497085e+01  3.09961837e+01  1.79999744e+02 
 1.37598551e+01  3.09961837e+01  1.79999738e+02 
 1.40771537e+01  3.09961837e+01  1.79999732e+02 
 1.44017690e+01  3.09961837e+01  1.79999726e+02 
 1.47338699e+01  3.09961837e+01  1.79999719e+02 
 1.50736290e+01  3.09961837e+01  1.79999713e+02 
 1.54212228e+01  3.09961837e+01  1.79999706e+02 
 1.57768320e+01  3.09961837e+01  1.79999700e+02 
 1.61406415e+01  3.09961837e+01  1.79999693e+02 
 1.65128404e+01  3.09961837e+01  1.79999686e+02 
 1.68936220e+01  3.09961837e+01  1.79999678e+02 
 1.72831844e+01  3.09961837e+01  1.79999671e+02 
 1.76817299e+01  3.09961837e+01  1.79999663e+02 
 1.80894658e+01  3.09961837e+01  1.79999656e+02 
 1.85066040e+01  3.09961837e+01  1.79999648e+02 
 1.89333613e+01  3.09961837e+01  1.79999640e+02 
 1.93699595e+01  3.09961837e+01  1.79999631e+02 
 1.98166255e+01  3.09961837e+01  1.79999623e+02 
 2.02735916e+01  3.09961837e+01  1.79999614e+02 
 2.07410951e+01  3.09961837e+01  1.79999605e+02 
 2.12193792e+01  3.09961837e+01  1.79999596e+02 
 2.17086923e+01  3.09961837e+01  1.79999587e+02 
 2.22092889e+01  3.09961837e+01  1.79999577e+02 
 2.27214291e+01  3.09961837e+01  1.79999567e+02 
 2.32453791e+01  3.09961837e+01  1.79999557e+02 
 2.37814113e+01  3.09961837e+01  1.79999547e+02 
 2.43298042e+01  3.09961837e+01  1.79999537e+02 
 2.48908429e+01  3.09961837e+01  1.79999526e+02 
 2.54648190e+01  3.09961837e+01  1.79999515e+02 
 2.60520309e+01  3.09961837e+01  1.79999504e+02 
 2.66527837e+01  3.09961837e+01  1.79999493e+02 
 2.72673897e+01  3.09961837e+01  1.79999481e+02 
 2.78961683e+01  3.09961837e+01  1.79999469e+02 
 2.85394464e+01  3.09961837e+01  1.79999457e+02 
 2.91975583e+01  3.09961837e+01  1.79999444e+02 
 2.98708461e+01  3.09961837e+01  1.79999431e+02 
 3.05596598e+01  3.09961837e+01  1.79999418e+02 
 3.12643573e+01  3.09961837e+01  1.79999405e+02 
 3.19853049e+01  3.09961837e+01  1.79999391e+02 
 3.27228774e+01  3.09961837e+01  1.79999377e+02 
 3.34774581e+01  3.09961837e+01  1.79999363e+02 
 3.42494392e+01  3.09961837e+01  1.79999348e+02 
 3.50392221e+01  3.09961837e+01  1.79999333e+02 
 3.58472171e+01  3.09961837e+01  1.79999317e+02 
 3.66738442e+01  3.09961837e+01  1.79999302e+02 
 3.75195331e+01  3.09961837e+01  1.79999286e+02 
 3.83847234e+01  3.09961837e+01  1.79999269e+02 
 3.92698648e+01  3.09961837e+01  1.79999252e+02 
 4.01754173e+01  3.09961837e+01  1.79999235e+02 
 4.11018515e+01  3.09961837e+01  1.79999217e+02 
 4.20496491e+01  3.09961837e+01  1.79999199e+02 
 4.30193027e+01  3.09961837e+01  1.79999181e+02 
 4.40113162e+01  3.09961837e+01  1.79999162e+02 
 4.50262052e+01  3.09961837e+01  1.79999143e+02 
 4.60644974e+01  3.09961837e+01  1.79999123e+02 
 4.71267322e+01  3.09961837e+01  1.79999103e+02 
 4.82134619e+01  3.09961837e+01  1.79999082e+02 
 4.93252513e+01  3.09961837e+01  1.79999061e+02 
 5.04626783e+01  3.09961837e+01  1.79999039e+02 
 5.16263340e+01  3.09961837e+01  1.79999017e+02 
 5.28168234e+01  3.09961837e+01  1.79998994e+02 
 5.40347650e+01  3.09961837e+01  1.79998971e+02 
 5.52807921e+01  3.09961837e+01  1.79998947e+02 
 5.65555523e+01  3.09961837e+01  1.79998923e+02 
 5.78597080e+01  3.09961837e+01  1.79998898e+02 
 5.91939372e+01  3.09961837e+01  1.79998873e+02 
 6.05589334e+01  3.09961837e+01  1.79998847e+02 
 6.19554061e+01  3.09961837e+01  1.79998820e+02 
 6.33840810e+01  3.09961837e+01  1.79998793e+02 
 6.48457008e+01  3.09961837e+01  1.79998765e+02 
 6.63410251e+01  3.09961837e+01  1.79998737e+02 
 6.78708313e+01  3.09961837e+01  1.79998708e+02 
 6.94359143e+01  3.09961837e+01  1.79998678e+02 
 7.10370877e+01  3.09961837e+01  1.79998647e+02 
 7.26751838e+01  3.09961837e+01  1.79998616e+02 
 7.43510539e+01  3.09961837e+01  1.79998584e+02 
 7.60655691e+01  3.09961837e+01  1.79998552e+02 
 7.78196206e+01  3.09961837e+01  1.79998518e+02 
 7.96141200e+01  3.09961837e+01  1.79998484e+02 
 8.14500001e+01  3.09961837e+01  1.79998449e+02 
 8.33282151e+01  3.09961837e+01  1.79998413e+02 
 8.52497412e+01  3.09961837e+01  1.79998377e+02 
 8.72155772e+01  3.09961837e+01  1.79998339e+02 
 8.92267449e+01  3.09961837e+01  1.79998301e+02 
 9.12842895e+01  3.09961837e+01  1.79998262e+02 
 9.33892805e+01  3.09961837e+01  1.79998222e+02 
 9.55428121e+01  3.09961837e+01  1.79998181e+02 
 9.77460036e+01  3.09961837e+01  1.79998139e+02 
 1.00000000e+02  3.09961837e+01  1.79998096e+02 
 1.02305973e+02  3.09961837e+01  1.79998052e+02 
 1.04665121e+02  3.09961837e+01  1.79998007e+02 
 1.07078670e+02  3.09961837e+01  1.79997961e+02 
 1.09547876e+02  3.09961837e+01  1.79997914e+02 
 1.12074020e+02  3.09961837e+01  1.79997866e+02 
 1.14658417e+02  3.09961837e+01  1.79997817e+02 
 1.17302409e+02  3.09961837e+01  1.79997767e+02 
 1.20007371e+02  3.09961837e+01  1.79997715e+02 
 1.22774708e+02  3.09961837e+01  1.79997662e+02 
 1.25605860e+02  3.09961837e+01  1.79997608e+02 
 1.28502297e+02  3.09961837e+01  1.79997553e+02 
 1.31465525e+02  3.09961837e+01  1.79997497e+02 
 1.34497085e+02  3.09961837e+01  1.79997439e+02 
 1.37598551e+02  3.09961837e+01  1.79997380e+02 
 1.40771537e+02  3.09961837e+01  1.79997320e+02 
 1.44017690e+02  3.09961837e+01  1.79997258e+02 
 1.47338699e+02  3.09961837e+01  1.79997195e+02 
 1.50736290e+02  3.09961837e+01  1.79997130e+02 
 1.54212228e+02  3.09961837e+01  1.79997064e+02 
 1.57768320e+02  3.09961837e+01  1.79996996e+02 
 1.61406415e+02  3.09961837e+01  1.79996927e+02 
 1.65128404e+02  3.09961837e+01  1.79996856e+02 
 1.68936220e+02  3.09961837e+01  1.79996783e+02 
 1.72831844e+02  3.09961837e+01  1.79996709e+02 
 1.76817299e+02  3.09961837e+01  1.79996633e+02 
 1.80894658e+02  3.09961837e+01  1.79996556e+02 
 1.85066040e+02  3.09961837e+01  1.79996476e+02 
 1.89333613e+02  3.09961837e+01  1.79996395e+02 
 1.93699595e+02  3.09961837e+01  1.79996312e+02 
 1.98166255e+02  3.09961837e+01  1.79996227e+02 
 2.02735916e+02  3.09961837e+01  1.79996140e+02 
 2.07410951e+02  3.09961837e+01  1.79996051e+02 
 2.12193792e+02  3.09961837e+01  1.79995960e+02 
 2.17086923e+02  3.09961837e+01  1.79995867e+02 
 2.22092889e+02  3.09961837e+01  1.79995771e+02 
 2.27214291e+02  3.09961837e+01  1.79995674e+02 
 2.32453791e+02  3.09961837e+01  1.79995574e+02 
 2.37814113e+02  3.09961837e+01  1.79995472e+02 
 2.43298042e+02  3.09961837e+01  1.79995367e+02 
 2.48908429e+02  3.09961837e+01  1.79995261e+02 
 2.54648190e+02  3.09961837e+01  1.79995151e+02 
 2.60520309e+02  3.09961837e+01  1.79995040e+02 
 2.66527837e+02  3.09961837e+01  1.79994925e+02 
 2.72673897e+02  3.09961837e+01  1.79994808e+02 
 2.78961683e+02  3.09961837e+01  1.79994688e+02 
 2.85394464e+02  3.09961837e+01  1.79994566e+02 
 2.91975583e+02  3.09961837e+01  1.79994441e+02 
 2.98708461e+02  3.09961836e+01  1.79994312e+02 
 3.05596598e+02  3.09961836e+01  1.79994181e+02 
 3.12643573e+02  3.09961836e+01  1.79994047e+02 
 3.19853049e+02  3.09961836e+01  1.79993910e+02 
 3.27228774e+02  3.09961836e+01  1.79993769e+02 
 3.34774581e+02  3.09961836e+01  1.79993626e+02 
 3.42494392e+02  3.09961836e+01  1.79993479e+02 
 3.50392221e+02  3.09961836e+01  1.79993328e+02 
 3.58472171e+02  3.09961836e+01  1.79993175e+02 
 3.66738442e+02  3.09961836e+01  1.79993017e+02 
 3.75195331e+02  3.09961836e+01  1.79992856e+02 
 3.83847234e+02  3.09961836e+01  1.79992691e+02 
 3.92698648e+02  3.09961836e+01  1.79992523e+02 
 4.01754173e+02  3.09961836e+01  1.79992350e+02 
 4.11018515e+02  3.09961836e+01  1.79992174e+02 
 4.20496491e+02  3.09961836e+01  1.79991994e+02 
 4.30193027e+02  3.09961836e+01  1.79991809e+02 
 4.40113162e+02  3.09961836e+01  1.79991620e+02 
 4.50262052e+02  3.09961836e+01  1.79991427e+02 
 4.60644974e+02  3.09961836e+01  1.79991229e+02 
 4.71267322e+02  3.09961836e+01  1.79991027e+02 
 4.82134619e+02  3.09961836e+01  1.79990820e+02 
 4.93252513e+02  3.09961836e+01  1.79990608e+02 
 5.04626783e+02  3.09961836e+01  1.79990392e+02 
 5.16263340e+02  3.09961836e+01  1.79990170e+02 
 5.28168234e+02  3.09961836e+01  1.79989943e+02 
 5.40347650e+02  3.09961836e+01  1.79989712e+02 
 5.52807921e+02  3.09961835e+01  1.79989474e+02 
 5.65555523e+02  3.09961835e+01  1.79989232e+02 
 5.78597080e+02  3.09961835e+01  1.79988983e+02 
 5.91939372e+02  3.09961835e+01  1.79988729e+02 
 6.05589334e+02  3.09961835e+01  1.79988469e+02 
 6.19554061e+02  3.09961835e+01  1.79988203e+02 
 6.33840810e+02  3.09961835e+01  1.79987931e+02 
 6.48457008e+02  3.09961835e+01  1.79987653e+02 
 6.63410251e+02  3.09961835e+01  1.79987368e+02 
 6.78708313e+02  3.09961835e+01  1.79987077e+02 
 6.94359143e+02  3.09961835e+01  1.79986779e+02 
 7.10370877e+02  3.09961835e+01  1.79986474e+02 
 7.26751838e+02  3.09961834e+01  1.79986162e+02 
 7.43510539e+02  3.09961834e+01  1.79985843e+02 
 7.60655691e+02  3.09961834e+01  1.79985517e+02 
 7.78196206e+02  3.09961834e+01  1.79985183e+02 
 7.96141200e+02  3.09961834e+01  1.79984841e+02 
 8.14500001e+02  3.09961834e+01  1.79984492e+02 
 8.33282151e+02  3.09961834e+01  1.79984134e+02 
 8.52497412e+02  3.09961833e+01  1.79983768e+02 
 8.72155772e+02  3.09961833e+01  1.79983394e+02 
 8.92267449e+02  3.09961833e+01  1.79983011e+02 
 9.12842895e+02  3.09961833e+01  1.79982619e+02 
 9.33892805e+02  3.09961833e+01  1.79982218e+02 
 9.55428121e+02  3.09961833e+01  1.79981808e+02 
 9.77460036e+02  3.09961832e+01  1.79981389e+02 
 1.00000000e+03  3.09961832e+01  1.79980960e+02 
 1.02305973e+03  3.09961832e+01  1.79980520e+02 
 1.04665121e+03  3.09961832e+01  1.79980071e+02 
 1.07078670e+03  3.09961831e+01  1.79979612e+02 
 1.09547876e+03  3.09961831e+01  1.79979142e+02 
 1.12074020e+03  3.09961831e+01  1.79978661e+02 
 1.14658417e+03  3.09961831e+01  1.79978169e+02 
 1.17302409e+03  3.09961830e+01  1.79977665e+02 
 1.20007371e+03  3.09961830e+01  1.79977150e+02 
 1.22774708e+03  3.09961830e+01  1.79976623e+02 
 1.25605860e+03  3.09961829e+01  1.79976084e+02 
 1.28502297e+03  3.09961829e+01  1.79975533e+02 
 1.31465525e+03  3.09961829e+01  1.79974968e+02 
 1.34497085e+03  3.09961828e+01  1.79974391e+02 
 1.37598551e+03  3.09961828e+01  1.79973801e+02 
 1.40771537e+03  3.09961827e+01  1.79973196e+02 
 1.44017690e+03  3.09961827e+01  1.79972578e+02 
 1.47338699e+03  3.09961827e+01  1.79971946e+02 
 1.50736290e+03  3.09961826e+01  1.79971299e+02 
 1.54212228e+03  3.09961826e+01  1.79970637e+02 
 1.57768320e+03  3.09961825e+01  1.79969960e+02 
 1.61406415e+03  3.09961824e+01  1.79969268e+02 
 1.65128404e+03  3.09961824e+01  1.79968559e+02 
 1.68936220e+03  3.09961823e+01  1.79967834e+02 
 1.72831844e+03  3.09961823e+01  1.79967092e+02 
 1.76817299e+03  3.09961822e+01  1.79966333e+02 
 1.80894658e+03  3.09961821e+01  1.79965557e+02 
 1.85066040e+03  3.09961821e+01  1.79964763e+02 
 1.89333613e+03  3.09961820e+01  1.79963950e+02 
 1.93699595e+03  3.09961819e+01  1.79963119e+02 
 1.98166255e+03  3.09961818e+01  1.79962268e+02 
 2.02735916e+03  3.09961817e+01  1.79961398e+02 
 2.07410951e+03  3.09961816e+01  1.79960508e+02 
 2.12193792e+03  3.09961815e+01  1.79959597e+02 
 2.17086923e+03  3.09961814e+01  1.79958666e+02 
 2.22092889e+03  3.09961813e+01  1.79957713e+02 
 2.27214291e+03  3.09961812e+01  1.79956737e+02 
 2.32453791e+03  3.09961811e+01  1.79955740e+02 
 2.37814113e+03  3.09961810e+01  1.79954719e+02 
 2.43298042e+03  3.09961809e+01  1.79953675e+02 
 2.48908429e+03  3.09961807e+01  1.79952607e+02 
 2.54648190e+03  3.09961806e+01  1.79951514e+02 
 2.60520309e+03  3.09961804e+01  1.79950396e+02 
 2.66527837e+03  3.09961803e+01  1.79949252e+02 
 2.72673897e+03  3.09961801e+01  1.79948082e+02 
 2.78961683e+03  3.09961800e+01  1.79946884e+02 
 2.85394464e+03  3.09961798e+01  1.79945660e+02 
 2.91975583e+03  3.09961796e+01  1.79944407e+02 
 2.98708461e+03  3.09961794e+01  1.79943125e+02 
 3.05596598e+03  3.09961792e+01  1.79941813e+02 
 3.12643573e+03  3.09961790e+01  1.79940471e+02 
 3.19853049e+03  3.09961788e+01  1.79939099e+02 
 3.27228774e+03  3.09961786e+01  1.79937694e+02 
 3.34774581e+03  3.09961783e+01  1.79936257e+02 
 3.42494392e+03  3.09961781e+01  1.79934788e+02 
 3.50392221e+03  3.09961778e+01  1.79933284e+02 
 3.58472171e+03  3.09961775e+01  1.79931745e+02 
 3.66738442e+03  3.09961773e+01  1.79930171e+02 
 3.75195331e+03  3.09961770e+01  1.79928561e+02 
 3.83847234e+03  3.09961766e+01  1.79926914e+02 
 3.92698648e+03  3.09961763e+01  1.79925228e+02 
 4.01754173e+03  3.09961760e+01  1.79923504e+02 
 4.11018515e+03  3.09961756e+01  1.79921740e+02 
 4.20496491e+03  3.09961752e+01  1.79919936e+02 
 4.30193027e+03  3.09961748e+01  1.79918089e+02 
 4.40113162e+03  3.09961744e+01  1.79916201e+02 
 4.50262052e+03  3.09961740e+01  1.79914268e+02 
 4.60644974e+03  3.09961735e+01  1.79912291e+02 
 4.71267322e+03  3.09961731e+01  1.79910269e+02 
 4.82134619e+03  3.09961726e+01  1.79908200e+02 
 4.93252513e+03  3.09961721e+01  1.79906083e+02 
 5.04626783e+03  3.09961715e+01  1.79903917e+02 
 5.16263340e+03  3.09961709e+01  1.79901701e+02 
 5.28168234e+03  3.09961703e+01  1.79899435e+02 
 5.40347650e+03  3.09961697e+01  1.79897116e+02 
 5.52807921e+03  3.09961691e+01  1.79894743e+02 
